nazwa,SM%,BO(g/kg),TS(g/kg),WS(g/kg),NDF(g/kg),BTJN(g/kg),BTJE(g/kg),JPM%
Jeczmien,88,125,21,52,199,86,103,107
Mocznik,87,2810,0,0,0,1443,0,0
Pszenzyto,89,12,2,3,20,86,110,100
Sruta rzepakowa,90,336,37,131,399,242,152,96
Sruta sojowa,89,399,19,61,169,326,236,100
Tluszcz chroniony,87,88,977,9,38,0,0,256
Zyto,88,20,15,22,120,67,97,117
